2020-12-27 20:00:47 INFO  root:40 - Getting all reimbursements
2020-12-27 20:01:35 INFO  root:40 - User Logged out
2020-12-27 20:01:35 INFO  root:96 - nyohoho has logged out
2020-12-27 20:01:44 INFO  root:59 - splatinum has logged in
2020-12-27 20:01:45 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:01:47 INFO  root:40 - User Logged out
2020-12-27 20:01:47 INFO  root:96 - splatinum has logged out
2020-12-27 20:01:55 INFO  root:59 - hgreen has logged in
2020-12-27 20:01:55 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:02:08 INFO  root:40 - User Logged out
2020-12-27 20:02:08 INFO  root:96 - hgreen has logged out
2020-12-27 20:04:28 INFO  root:59 - mred has logged in
2020-12-27 20:04:29 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:04:39 INFO  root:54 - Added new reimbursement from:mred
2020-12-27 20:04:40 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:04:55 INFO  root:40 - User Logged out
2020-12-27 20:04:55 INFO  root:96 - mred has logged out
2020-12-27 20:07:08 INFO  root:59 - schariot has logged in
2020-12-27 20:07:09 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:07:42 INFO  root:56 - Added new reimbursement from:schariot
2020-12-27 20:07:43 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:08:22 INFO  root:40 - User Logged out
2020-12-27 20:08:37 INFO  root:59 - schariot has logged in
2020-12-27 20:08:38 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:08:40 INFO  root:40 - User Logged out
2020-12-27 20:08:40 INFO  root:96 - schariot has logged out
2020-12-27 20:30:59 INFO  root:59 - splatinum has logged in
2020-12-27 20:30:59 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-27 20:31:12 INFO  root:40 - User Logged out
2020-12-27 20:31:12 INFO  root:96 - splatinum has logged out
2020-12-27 20:31:19 INFO  root:59 - nyohoho has logged in
2020-12-27 20:31:19 INFO  root:40 - Getting all reimbursements
2020-12-27 20:31:44 INFO  root:59 - bubbleboy has logged in
2020-12-27 20:31:44 INFO  root:40 - Getting all reimbursements
2020-12-28 10:51:43 INFO  root:60 - Getting all reimbursements
2020-12-28 10:52:21 INFO  root:59 - splatinum has logged in
2020-12-28 10:52:22 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-28 10:52:42 INFO  root:56 - Added new reimbursement from:splatinum
2020-12-28 10:52:42 INFO  root:74 - Grabbed all reimbursements from a user
2020-12-28 10:52:54 INFO  root:40 - User Logged out
2020-12-28 10:52:54 INFO  root:96 - splatinum has logged out
2020-12-28 10:53:12 INFO  root:59 - nyohoho has logged in
2020-12-28 10:53:12 INFO  root:40 - Getting all reimbursements
2020-12-28 10:53:37 INFO  root:72 - Updated info of id 29 of reimbursement from: nyohoho
2020-12-28 10:53:38 INFO  root:40 - Getting all reimbursements
2020-12-28 10:54:00 INFO  root:72 - Updated info of id 25 of reimbursement from: nyohoho
2020-12-28 10:54:01 INFO  root:40 - Getting all reimbursements
2021-01-05 15:48:45 INFO  root:59 - splatinum has logged in
